url,name,district_id,school_level
https://www.zipdatamaps.com/schools/colorado/district/map-of-sheridan-school-district-2-co-high-school-attendance-zones,sheridan,2,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-st-vrain-valley-school-district-re-1j-co-elementary-school-attendance-zones,st-vrain-valley,re-1j,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-st-vrain-valley-school-district-re-1j-co-high-school-attendance-zones,st-vrain-valley,re-1j,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-st-vrain-valley-school-district-re-1j-co-middle-school-attendance-zones,st-vrain-valley,re-1j,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-thompson-school-district-r-2j-co-elementary-school-attendance-zones,thompson,r-2j,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-thompson-school-district-r-2j-co-high-school-attendance-zones,thompson,r-2j,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-thompson-school-district-r-2j-co-middle-school-attendance-zones,thompson,r-2j,middle
https://www.zipdatamaps.com/schools/colorado/district/map-of-widefield-school-district-3-co-elementary-school-attendance-zones,widefield,3,elementary
https://www.zipdatamaps.com/schools/colorado/district/map-of-widefield-school-district-3-co-high-school-attendance-zones,widefield,3,high
https://www.zipdatamaps.com/schools/colorado/district/map-of-widefield-school-district-3-co-middle-school-attendance-zones,widefield,3,middle
